processed_at,processing_time_seconds,file_name,file_type,employee_name,employee_address,employee_ssn,employer_name,employer_address,employer_ein,name_confidence,address_confidence,id_confidence,overall_confidence,status,review_reason
2026-05-26T11:05:36.481706,16.88,W2_XL_input_clean_1000.pdf,clean,April Hensley,31403 David Circles Suite 863 West Erinfort WY 45881-3334,077-49-4905,Richardson-Brown PLC,2936 Howard Radial West Raymond NV 44735-6958,37-2766773,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2."
2026-05-26T11:05:47.130828,10.65,W2_XL_input_clean_1001.pdf,clean,Taylor Cox,613 Roger Crest Apt. 802 Leeton IA 26442-8249,779-70-5706,Carlson Group Group,56319 Underwood Views Lake Debramouth NE 33667-9751,39-3114215,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2."
2026-05-26T11:05:58.932864,11.8,W2_XL_input_clean_1002.pdf,clean,Laura Russo,2199 Little Falls Snyderton TX 28420-7250,675-52-6498,Marshall PLC PLC,6822 Henry Neck Suite 843 Port Angelastad IA 13833-3941,73-1267148,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2."
2026-05-26T11:06:09.691244,10.76,W2_XL_input_clean_1003.pdf,clean,Mitchell Allen,6503 John Stream,691-53-3104,Mcdonald-Harris Inc,560 Munoz Mills Suite 766 South Jamesstad MN 44881-3192,25-0924379,0.95,0.0,0.95,0.6333333333333333,NEEDS_REVIEW,Missing or incomplete customer field(s): employee_address
2026-05-26T11:06:25.009105,15.32,W2_XL_input_clean_1004.pdf,clean,James Williams,95060 Crystal Burg Apt. 070 Davisburgh AR 30937-0798,037-07-1416,Frederick-Hendricks Group,01670 Adams Islands Angelatown AZ 21706-7217,71-6374971,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2."
2026-05-26T11:06:41.452185,16.44,W2_XL_input_clean_1005.pdf,clean,Trevor Duncan,41435 Hughes Drive New Teresaberg KS 99528-9775,768-05-9800,White PLC Inc,,83-1015714,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2."
2026-05-26T11:06:58.404223,16.95,W2_XL_input_clean_1006.pdf,clean,Mary Dickerson,95842 Freeman Coves Apt. 63545-3314,036-91-4705,Morgan Ltd and Sons,,22-3437795,0.95,0.0,0.95,0.6333333333333333,NEEDS_REVIEW,Missing or incomplete customer field(s): employee_address
2026-05-26T11:07:34.402830,36.0,W2_XL_input_clean_1007.pdf,clean,,,760-19-8138,Brown LLC Group,,21-7657558,0.0,0.0,0.95,0.31666666666666665,NEEDS_REVIEW,"Missing or incomplete customer field(s): employee_name, employee_address"
2026-05-26T11:08:01.222758,26.82,W2_XL_input_clean_1008.pdf,clean,Robert Benson,84813 Eric Way Apt. North Amberborough AR 94257,280-96-5377,"Flores, Hubbard and Franklin Inc",,33-0179104,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2."
2026-05-26T11:08:10.880580,9.66,W2_XL_input_clean_1009.pdf,clean,Michelle Brown,730 Huber Island Suite 344 Collinshaven IN 29316-8972,133-45-6693,"Cooper, Spence and Curry Ltd",,65-8736227,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2."
2026-05-26T11:08:23.620780,12.74,W2_XL_input_clean_1010.pdf,clean,Bobby Torres,9622 Jessica Estates Apt. 532 Nathantown IA 78428-1174,592-52-8367,Schaefer Group Ltd,18648 Costa Valleys Suite 011 78136-7800,36-2682044,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2."
2026-05-26T11:08:46.832315,23.21,W2_XL_input_clean_1011.pdf,clean,Jill Case,08470 Miller Stream Petersmouth IN 55359-2536,259-79-5957,Young-Perkins PLC,,68-0385441,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2."
