file_name,gcs_uri,employee_name,employee_address,employee_ssn,employer_name,employer_address,employer_ein,name_confidence,address_confidence,id_confidence,overall_confidence,status,review_reason,processed_at
W2_XL_input_clean_1000.pdf,gs://firstgen-taxform-storage-2026/raw/W2_XL_input_clean_1000.pdf,April Hensley,31403 David Circles Suite 863 West Erinfort WY 45881-3334,077-49-4905,Richardson-Brown PLC,2936 Howard Radial West Raymond NV 44735-6958,37-2766773,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2.",2026-05-25 06:47:18.043264+00:00
W2_XL_input_clean_1001.pdf,gs://firstgen-taxform-storage-2026/raw/W2_XL_input_clean_1001.pdf,Taylor Cox,613 Roger Crest Apt. 802 Leeton IA 26442-8249,779-70-5706,Carlson Group Group,56319 Underwood Views Lake Debramouth NE 33667-9751,39-3114215,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2.",2026-05-25 06:47:28.974565+00:00
W2_XL_input_clean_1002.pdf,gs://firstgen-taxform-storage-2026/raw/W2_XL_input_clean_1002.pdf,Laura Russo,2199 Little Falls Snyderton TX 28420-7250,675-52-6498,Marshall PLC PLC,6822 Henry Neck Suite 843 Port Angelastad IA 13833-3941,73-1267148,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2.",2026-05-25 06:47:38.912845+00:00
W2_XL_input_clean_1003.pdf,gs://firstgen-taxform-storage-2026/raw/W2_XL_input_clean_1003.pdf,Mitchell Allen,6503 John Stream New Meredithstad 19628,691-53-3104,Mcdonald-Harris Inc,560 Munoz Mills Suite 766 South Jamesstad MN 44881-3192,25-0924379,0.95,0.0,0.95,0.6333333333333333,NEEDS_REVIEW,Missing or incomplete customer field(s): employee_address,2026-05-25 06:47:48.939785+00:00
W2_XL_input_clean_1004.pdf,gs://firstgen-taxform-storage-2026/raw/W2_XL_input_clean_1004.pdf,James Williams,95060 Crystal Burg Apt. 070 Davisburgh AR 30937-0798,037-07-1416,Frederick-Hendricks Group,01670 Adams Islands Angelatown AZ 21706-7217,71-6374971,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2.",2026-05-25 06:48:06.217388+00:00
W2_XL_input_clean_1005.pdf,gs://firstgen-taxform-storage-2026/raw/W2_XL_input_clean_1005.pdf,Trevor Duncan,41435 Hughes Drive New Teresaberg KS 99528-9775,768-05-9800,White PLC Inc,21769 Walker Landing Bakerfurt NJ 06199-9819,83-1015714,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2.",2026-05-25 20:36:01.616848+00:00
W2_XL_input_clean_1006.pdf,gs://firstgen-taxform-storage-2026/raw/W2_XL_input_clean_1006.pdf,Mary Dickerson,95842 Freeman Coves Apt. 63545-3314,036-91-4705,Morgan Ltd and Sons,147 Taylor Wall New Joshua NE 07877-3716,22-3437795,0.95,0.0,0.95,0.6333333333333333,NEEDS_REVIEW,Missing or incomplete customer field(s): employee_address,2026-05-25 20:36:15.665952+00:00
W2_XL_input_clean_1007.pdf,gs://firstgen-taxform-storage-2026/raw/W2_XL_input_clean_1007.pdf,Seth Bailey,341 Charles Mountains Morganberg CO 47155-8501,760-19-8138,Brown LLC Group,489 Liu Villages South Thomasborough NV 46057-8717,21-7657558,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2.",2026-05-25 20:36:47.525563+00:00
W2_XL_input_clean_1008.pdf,gs://firstgen-taxform-storage-2026/raw/W2_XL_input_clean_1008.pdf,Robert Benson,84813 Eric Way Apt. North Amberborough 94257,280-96-5377,"Flores, Hubbard and Franklin Inc",638 Jennifer Springs Adamsmouth OR 71848-7881,33-0179104,0.95,0.0,0.95,0.6333333333333333,NEEDS_REVIEW,Missing or incomplete customer field(s): employee_address,2026-05-25 20:37:08.573568+00:00
W2_XL_input_clean_1009.pdf,gs://firstgen-taxform-storage-2026/raw/W2_XL_input_clean_1009.pdf,Michelle Brown,730 Huber Island Suite 344 Collinshaven IN 29316-8972,133-45-6693,"Cooper, Spence and Curry Ltd",871 Tonya Causeway New Davidborough AL 63538-3453,65-8736227,0.95,0.95,0.95,0.9499999999999998,AUTO_APPROVED,"Required customer fields are complete. Repeat evidence - name: 2, address: 2, SSN: 2.",2026-05-25 20:37:20.012337+00:00
