file_name,file_type,employee_name,employee_address,employee_ssn,notes
W2_XL_input_clean_1000.pdf,clean,April Hensley,31403 David Circles Suite 863 West Erinfort WY 45881-3334,077-49-4905,
W2_XL_input_clean_1001.pdf,clean,Taylor Cox,613 Roger Crest Apt. 802 Leeton IA 26442-8249,779-70-5706,
W2_XL_input_clean_1002.pdf,clean,Laura Russo,2199 Little Falls Snyderton TX 28420-7250,675-52-6498,
W2_XL_input_clean_1003.pdf,clean,Mitchell Allen,6503 John Stream New Meredithstad MI 19628-813,691-53-3104,
W2_XL_input_clean_1004.pdf,clean,James Williams,95060 Crystal Burg Apt. 070 Davisburgh AR 30937-0798,037-07-1416,
W2_XL_input_noisy_2536.pdf,noisy,Andrea Johnson,363 Little Prairie Pearsonhaven WI 08035-8953,117-37-3899,
W2_XL_input_noisy_2908.pdf,noisy,Alexander Raynes,"6319 Andrew Mill Apt. 581 West Brian MI 80306-1025",513-43-4641,
W2_XL_input_noisy_2909.pdf,noisy,Philip Robertson,NOT_VERIFIABLE,NOT_VERIFIABLE,
W2_XL_input_noisy_2910.pdf,noisy,Eric Salazar,90546 Stephen Shores Patriciafort ME 74844-2448,606-28-8205,
W2_XL_input_noisy_2911.pdf,noisy,Victoria Morales,1272 Price Highway New Scott AL 92936-1875,679-16-9791,
W2_XL_input_noisy_2913.pdf,noisy,Danny Cruz,NOT_VERIFIABLE,722-70-2179,"Address partially cut off"
W2_XL_input_noisy_2915.pdf,noisy,Brian Thompson,NOT_VERIFIABLE,401-09-3931,"Address partially cut off / not verifiable"
W2_XL_input_noisy_2916.pdf,noisy,Joseph Martinez,558 Mcconnell Loop Suite 571 Erinville ID 20207-7340,828-94-4458,
W2_XL_input_noisy_2917.pdf,noisy,Steven Mason,453 Kelly Throughway Petersonfort ND 25841-7459,091-54-3329,
W2_XL_input_noisy_2918.pdf,noisy,Elizabeth Hammond,7408 Timothy Extensions West Dustinmouth SC 46396-4655,159-13-4021,
W2_XL_input_noisy_2919.pdf,noisy,Kathleen Rodriguez,41952 Hansen Unions Stanleyberg LA 71850-3873,575-79-2300,
W2_XL_input_noisy_2920.pdf,noisy,Kimberly Miller,6099 Williams Plains Sheppardshire ME 73950-5231,770-50-5320,
W2_XL_input_noisy_2921.pdf,noisy,Laura Lawson,4454 Roy Plaza East Richardshire DE 42353,872-55-3605,
W2_XL_input_noisy_2922.pdf,noisy,Tiffany Ramirez,6243 Avila Mission Apt. 653 East Lori NY 43845-1187,070-82-9963,
W2_XL_input_noisy_2923.pdf,noisy,Kevin Brown,5208 Andrew Pine Apt. 494 Port Amy WA 95592-4565,030-74-6444,
W2_XL_input_noisy_2924.pdf,noisy,Erika Giles,545 Middleton Spurs Apt. 225 Vargasfort NV 03798-3949,066-45-8206,
W2_XL_input_clean_1005.pdf,clean,Trevor Duncan,41435 Hughes Drive New Teresaberg KS 99528-9775,768-05-9800,
W2_XL_input_clean_1006.pdf,clean,Mary Dickerson,95842 Freeman Coves Apt. 609 Robertburgh MA 63545-3314,036-91-4705,
W2_XL_input_clean_1007.pdf,clean,Seth Bailey,341 Charles Mountains Morganberg CO 47155-8501,760-19-8138,
W2_XL_input_clean_1008.pdf,clean,Robert Benson,84813 Eric Way Apt. 116 North Amberborough AR 94257-0942,280-96-5377,
W2_XL_input_clean_1009.pdf,clean,Michelle Brown,730 Huber Island Suite 344 Collinshaven IN 29316-8972,133-45-6693,
W2_XL_input_clean_1010.pdf,clean,Bobby Torres,9622 Jessica Estates Apt. 532 Nathantown IA 78428-1174,592-52-8367,
