processed_at,processing_time_seconds,file_name,file_type,employee_name,employee_address,employee_ssn,employer_name,employer_address,employer_ein,name_confidence,address_confidence,id_confidence,overall_confidence,status,review_reason
2026-05-26T11:06:09.691244,10.76,W2_XL_input_clean_1003.pdf,clean,Mitchell Allen,6503 John Stream,691-53-3104,Mcdonald-Harris Inc,560 Munoz Mills Suite 766 South Jamesstad MN 44881-3192,25-0924379,0.95,0.0,0.95,0.6333333333333333,NEEDS_REVIEW,Missing or incomplete customer field(s): employee_address
2026-05-26T11:06:58.404223,16.95,W2_XL_input_clean_1006.pdf,clean,Mary Dickerson,95842 Freeman Coves Apt. 63545-3314,036-91-4705,Morgan Ltd and Sons,,22-3437795,0.95,0.0,0.95,0.6333333333333333,NEEDS_REVIEW,Missing or incomplete customer field(s): employee_address
2026-05-26T11:07:34.402830,36.0,W2_XL_input_clean_1007.pdf,clean,,,760-19-8138,Brown LLC Group,,21-7657558,0.0,0.0,0.95,0.31666666666666665,NEEDS_REVIEW,"Missing or incomplete customer field(s): employee_name, employee_address"
2026-05-26T11:09:07.124803,8.39,W2_XL_input_clean_1013.pdf,clean,,,725-40-6045,Mendoza-Matthews Group,,75-1618704,0.0,0.0,0.95,0.31666666666666665,NEEDS_REVIEW,"Missing or incomplete customer field(s): employee_name, employee_address"
2026-05-26T11:09:23.223145,16.1,W2_XL_input_clean_1014.pdf,clean,,,107-41-1388,Bailey-Gross and Sons,2965 James Manors Suite 021 Christopherburgh OK 23062-2861,25-4904377,0.0,0.0,0.95,0.31666666666666665,NEEDS_REVIEW,"Missing or incomplete customer field(s): employee_name, employee_address"
2026-05-26T11:10:28.141622,18.43,W2_XL_input_clean_1018.pdf,clean,,,536-93-9326,"Rangel, Wiggins and Ortega Ltd",3460 Stevenson Islands Sarahbury WY 01038-0096,82-4064182,0.0,0.0,0.95,0.31666666666666665,NEEDS_REVIEW,"Missing or incomplete customer field(s): employee_name, employee_address"
2026-05-26T11:10:52.166590,11.77,W2_XL_input_clean_1020.pdf,clean,Craig Conway,1982 Fitzgerald Motorway Suite 998 Lake Michellefort KS,685-27-9841,"Edwards, Gonzalez and Good Inc",,22-9885201,0.95,0.0,0.95,0.6333333333333333,NEEDS_REVIEW,Missing or incomplete customer field(s): employee_address
2026-05-26T11:11:08.720515,16.55,W2_XL_input_clean_1021.pdf,clean,Brandon Powell,165 Brown Street Apt. 864 South Robertmouth TN,566-27-1172,"Blackburn, Santos and Harper Ltd",750 Robert Mill Rebeccaland GA 22374-4695,02-6867459,0.95,0.0,0.95,0.6333333333333333,NEEDS_REVIEW,Missing or incomplete customer field(s): employee_address
2026-05-26T11:13:11.983451,10.83,W2_XL_input_clean_1025.pdf,clean,,,419-46-9476,"Martinez, Frederick and Anderson Ltd",,39-5248121,0.0,0.0,0.95,0.31666666666666665,NEEDS_REVIEW,"Missing or incomplete customer field(s): employee_name, employee_address"
2026-05-26T11:14:07.059738,24.69,W2_XL_input_clean_1028.pdf,clean,,,521-99-2805,George PLC Group,75737 Steven Road Wilsonberg AK 60557-2508,04-6527118,0.0,0.0,0.95,0.31666666666666665,NEEDS_REVIEW,"Missing or incomplete customer field(s): employee_name, employee_address"
